fetch_surface,fletch_id,season,season_type,source_kind,source_url,cache_targets,mutation_mode,acquisition_mode,activation_rule,icelines_validation_floor,handoff_status,validation_status
rosters,icelines.roster.20252026.CHI,20252026,regular,http,https://api-web.nhle.com/v1/roster/CHI/20252026,snapshots/20252026-<date>-rosters/rosters/CHI.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.COL,20252026,regular,http,https://api-web.nhle.com/v1/roster/COL/20252026,snapshots/20252026-<date>-rosters/rosters/COL.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.DAL,20252026,regular,http,https://api-web.nhle.com/v1/roster/DAL/20252026,snapshots/20252026-<date>-rosters/rosters/DAL.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.DET,20252026,regular,http,https://api-web.nhle.com/v1/roster/DET/20252026,snapshots/20252026-<date>-rosters/rosters/DET.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.EDM,20252026,regular,http,https://api-web.nhle.com/v1/roster/EDM/20252026,snapshots/20252026-<date>-rosters/rosters/EDM.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.FLA,20252026,regular,http,https://api-web.nhle.com/v1/roster/FLA/20252026,snapshots/20252026-<date>-rosters/rosters/FLA.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.LAK,20252026,regular,http,https://api-web.nhle.com/v1/roster/LAK/20252026,snapshots/20252026-<date>-rosters/rosters/LAK.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.MIN,20252026,regular,http,https://api-web.nhle.com/v1/roster/MIN/20252026,snapshots/20252026-<date>-rosters/rosters/MIN.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.MTL,20252026,regular,http,https://api-web.nhle.com/v1/roster/MTL/20252026,snapshots/20252026-<date>-rosters/rosters/MTL.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.NJD,20252026,regular,http,https://api-web.nhle.com/v1/roster/NJD/20252026,snapshots/20252026-<date>-rosters/rosters/NJD.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.NSH,20252026,regular,http,https://api-web.nhle.com/v1/roster/NSH/20252026,snapshots/20252026-<date>-rosters/rosters/NSH.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.NYI,20252026,regular,http,https://api-web.nhle.com/v1/roster/NYI/20252026,snapshots/20252026-<date>-rosters/rosters/NYI.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.NYR,20252026,regular,http,https://api-web.nhle.com/v1/roster/NYR/20252026,snapshots/20252026-<date>-rosters/rosters/NYR.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.OTT,20252026,regular,http,https://api-web.nhle.com/v1/roster/OTT/20252026,snapshots/20252026-<date>-rosters/rosters/OTT.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.PHI,20252026,regular,http,https://api-web.nhle.com/v1/roster/PHI/20252026,snapshots/20252026-<date>-rosters/rosters/PHI.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.PIT,20252026,regular,http,https://api-web.nhle.com/v1/roster/PIT/20252026,snapshots/20252026-<date>-rosters/rosters/PIT.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.SEA,20252026,regular,http,https://api-web.nhle.com/v1/roster/SEA/20252026,snapshots/20252026-<date>-rosters/rosters/SEA.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.SJS,20252026,regular,http,https://api-web.nhle.com/v1/roster/SJS/20252026,snapshots/20252026-<date>-rosters/rosters/SJS.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.STL,20252026,regular,http,https://api-web.nhle.com/v1/roster/STL/20252026,snapshots/20252026-<date>-rosters/rosters/STL.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.TBL,20252026,regular,http,https://api-web.nhle.com/v1/roster/TBL/20252026,snapshots/20252026-<date>-rosters/rosters/TBL.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.TOR,20252026,regular,http,https://api-web.nhle.com/v1/roster/TOR/20252026,snapshots/20252026-<date>-rosters/rosters/TOR.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.UTA,20252026,regular,http,https://api-web.nhle.com/v1/roster/UTA/20252026,snapshots/20252026-<date>-rosters/rosters/UTA.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.VAN,20252026,regular,http,https://api-web.nhle.com/v1/roster/VAN/20252026,snapshots/20252026-<date>-rosters/rosters/VAN.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.VGK,20252026,regular,http,https://api-web.nhle.com/v1/roster/VGK/20252026,snapshots/20252026-<date>-rosters/rosters/VGK.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.WPG,20252026,regular,http,https://api-web.nhle.com/v1/roster/WPG/20252026,snapshots/20252026-<date>-rosters/rosters/WPG.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.WSH,20252026,regular,http,https://api-web.nhle.com/v1/roster/WSH/20252026,snapshots/20252026-<date>-rosters/rosters/WSH.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.goalie.advanced,20252026,regular,http,https://api.nhle.com/stats/rest/en/goalie/advanced?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/goalie-advanced.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.goalie.bios,20252026,regular,http,https://api.nhle.com/stats/rest/en/goalie/bios?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/goalie-bios.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.goalie.daysrest,20252026,regular,http,https://api.nhle.com/stats/rest/en/goalie/daysrest?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/goalie-daysrest.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.goalie.penaltyShots,20252026,regular,http,https://api.nhle.com/stats/rest/en/goalie/penaltyShots?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/goalie-penaltyShots.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.goalie.savesByStrength,20252026,regular,http,https://api.nhle.com/stats/rest/en/goalie/savesByStrength?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/goalie-savesByStrength.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.goalie.shootout,20252026,regular,http,https://api.nhle.com/stats/rest/en/goalie/shootout?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/goalie-shootout.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.goalie.startedVsRelieved,20252026,regular,http,https://api.nhle.com/stats/rest/en/goalie/startedVsRelieved?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/goalie-startedVsRelieved.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.goalie.summary,20252026,regular,http,https://api.nhle.com/stats/rest/en/goalie/summary?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/goalie-summary.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.skater.bios,20252026,regular,http,https://api.nhle.com/stats/rest/en/skater/bios?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/skater-bios.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.skater.faceoffpercentages,20252026,regular,http,https://api.nhle.com/stats/rest/en/skater/faceoffpercentages?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/skater-faceoffpercentages.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.skater.faceoffwins,20252026,regular,http,https://api.nhle.com/stats/rest/en/skater/faceoffwins?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/skater-faceoffwins.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.skater.goalsForAgainst,20252026,regular,http,https://api.nhle.com/stats/rest/en/skater/goalsForAgainst?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/skater-goalsForAgainst.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.skater.penalties,20252026,regular,http,https://api.nhle.com/stats/rest/en/skater/penalties?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/skater-penalties.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.skater.penaltykill,20252026,regular,http,https://api.nhle.com/stats/rest/en/skater/penaltykill?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/skater-penaltykill.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.skater.powerplay,20252026,regular,http,https://api.nhle.com/stats/rest/en/skater/powerplay?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/skater-powerplay.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.skater.puckPossessions,20252026,regular,http,https://api.nhle.com/stats/rest/en/skater/puckPossessions?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/skater-puckPossessions.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.skater.realtime,20252026,regular,http,https://api.nhle.com/stats/rest/en/skater/realtime?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/skater-realtime.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.skater.scoringRates,20252026,regular,http,https://api.nhle.com/stats/rest/en/skater/scoringRates?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/skater-scoringRates.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.skater.scoringpergame,20252026,regular,http,https://api.nhle.com/stats/rest/en/skater/scoringpergame?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/skater-scoringpergame.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.skater.shottype,20252026,regular,http,https://api.nhle.com/stats/rest/en/skater/shottype?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/skater-shottype.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.skater.summary,20252026,regular,http,https://api.nhle.com/stats/rest/en/skater/summary?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/skater-summary.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.skater.summaryshooting,20252026,regular,http,https://api.nhle.com/stats/rest/en/skater/summaryshooting?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/skater-summaryshooting.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
stats-report,icelines.stats.20252026.regular.skater.timeonice,20252026,regular,http,https://api.nhle.com/stats/rest/en/skater/timeonice?cayenneExp=seasonId%3D20252026%20and%20gameTypeId%3D2,snapshots/<active-stats>/20252026/regular/skater-timeonice.json,generic-paged-json-cacheline,generic-paged-json-cacheline,"FLETCH acquires and caches paged JSON bytes; ICELINES owns report parsing, lock policy, snapshot seal, and active pointer","download success is not an analytics claim; ICELINES validates report shape, typed rows, chunk manifests, and stat catalog semantics",generic-fetch-ready,pass
transactions,icelines.transactions.20252026,20252026,regular,adapter,icelines-espn-transactions://season/20252026,snapshots/20252026-<date>-transactions/transactions/transactions.json,generic-window-batch-http-cacheline-after-season,generic-window-batch-http-cacheline-after-season,"ICELINES owns ESPN monthly window expansion, prose classification, warnings, and stale flags","ICELINES validates ESPN schema fallback, classifier version, unknown-team handling, and stale metadata",batch-expansion-ready-after-domain-set,pass
